raw_street,raw_area
2 Embling Place,"Eastern Beach, Auckland, Auckland South"
87 Kingston Road,"Kingston, Queenstown, Otago"
99 High Street,"Oxford, Canterbury"
218 Bronte Road West,"Bronte, Upper Moutere, Nelson/Marlborough"
1A McKenzie Avenue,"Otorohanga, Waikato"
19 Lori Lane,"Coopers Beach, Northland"
8 Shearer Avenue,"Papanui, Christchurch, Canterbury"
62 Quinn Crescent,"Woodend, Canterbury"
12 Toi Place,"Papamoa, Bay of Plenty"
"10A, 10B, 12 Princess Place & 207, 209 Williams Street","Kaiapoi, Christchurch, Canterbury"
32 Makomako Crescent,"Wharewaka, Taupo, Waikato"
18 Celestial Crescent,"Orewa, Auckland North Shore"
1595A Manawahe Road,"Manawahe, Whakatane, Bay of Plenty"
61 Mcelwee Street,"Napier, Hawkes Bay/Gisborne"
"27 Whitford Ave, 91 Aranui Rd & 18 Skinner Rd","Mt Wellington, Auckland, Auckland City"
18 Piharau Crescent,"Hurdon, New Plymouth, Taranaki"
28 Kohinoor Avenue,"Mangere, Auckland, Auckland South"
12 Brenley Drive,"Rolleston, Canterbury"
19 Woodbank Street,"Somerfield, Christchurch, Canterbury"
239 Beach Road,"Onuku, Banks Peninsula, Canterbury"
192C Wainui Road,"Kaeo, Northland"
2104A East Coast Road,"Silverdale, Auckland, Auckland North Shore"
31 Te Taniwha Road,"One Tree Point, Whangarei, Northland"
989 Papakura Road,"Clevedon, Auckland, Auckland South"
Frederick Street,"Wanaka, Otago"
83 Woburn Road,"Woburn, Lower Hutt, Wellington"
8 Templeton Street,"Albert Town, Wanaka, Otago"
15 Foster Place,"Mt Pisa, Cromwell, Otago"
4 Tuatahi Avenue,"Solway, Masterton, Wairarapa"
77 Kuripuni Street,"Masterton, Wairarapa"
14 Tu Atu Street,"Napier, Hawkes Bay/Gisborne"
5 Lighter Place,"Flagstaff, Hamilton, Waikato"
3/130 Totara Street,"Te Awamutu, Waikato"
27A Graham McRae Place,"Hampton Downs, Te Kauwhata, Waikato"
7B Kiriwai Road,"Paremata, Porirua, Wellington"
49 Banks Boulevard,"Whitby, Porirua, Wellington"
87 Burbush Road,"Burbush, Hamilton, Waikato"
12 Britton Avenue,"Mt Roskill, Auckland, Auckland City"
44 Key West Drive,"One Tree Point, Northland"
227 Trig Road,"Whitford, Auckland, Auckland South"
107A Kiwi Road,"Pt Chevalier, Auckland, Auckland City"
41 Roys Road,"Weymouth, Auckland, Auckland South"
1 Fontana Street,"Papamoa, Bay of Plenty"
19 & 21 Fisher Street,"Johnsonville, Wellington, Wellington"
25 Glacial Terrace,"St Arnaud, Nelson/Marlborough"
20 Collisson Street,"Leeston, Canterbury"
41 Gloria Avenue,"Te Atatu Peninsula, Auckland, Auckland West"
18R Mervan Street,"Mangere East, Auckland, Auckland South"
48 Grayshott Avenue,"Casebrook, Christchurch, Canterbury"
Karori Crescent,"Orakei, Auckland, Auckland City"
16 Kamokore Glade,"Pyes Pa, Tauranga, Bay of Plenty"
11 O'Meara Street,"Swanson, Auckland, Auckland West"
26 Westview Road,"Wanaka, Otago"
"126, 134 & 136 Waimumu Road","Massey, Auckland, Auckland West"
36 Harry Richards Way,"Pokeno, Waikato"
3 Thyme Crescent,"Alexandra, Otago"
40 Eastern Hutt Road,"Wingate, Lower Hutt, Wellington"
718 Huia Road,"Cornwallis, Auckland, Auckland West"
126 Brookvale Road,"Havelock North, Hawkes Bay/Gisborne"
73 Glendale Road,"Glen Eden, Auckland, Auckland West"
1011 SH 5,"Glengarry, Napier, Hawkes Bay/Gisborne"
655 Barkers Road,"Loburn, Canterbury"
8 Fallow Street,"Jacks Point, Queenstown, Otago"
3 Koromiko Road,"Aro Valley, Wellington, Wellington"
37 Wilson Street,"Bulls, Manawatu/Whanganui"
42 Kedge Drive,"Mangawhai, Northland"
7 Balthazar Road,"Kumeu, Auckland West"
48 Twin Parks Rise,"Papakura, Auckland South"
56 Kent Street,"Ngaruawahia, Waikato"
5 Kakariki Lane,"Ohauiti, Tauranga, Bay of Plenty"
2 Tongariro Place,"National Park, Waikato"
5 Norval Road,"Henderson, Auckland, Auckland West"
Hereford Street & Bredins Line,"Marton, Manawatu/Whanganui"
9A August Place,"Greenlane, Auckland, Auckland City"
4 Sagra Way,"Bombay, Auckland, Auckland South"
284 Frankley Road,"Ferndale, New Plymouth, Taranaki"
66 Stationmasters Way,"Prebbleton, Canterbury"
10-16 Percy Spiller Avenue & 20-26 Longfellow Avenue,"Maraenui, Napier, Manawatu/Whanganui"
64 Highcountry Lane,"Hillend Station, Wanaka, Otago"
12 Coles Lane,"Rolleston, Canterbury"
129 Maich Road,"Manurewa, Auckland, Auckland South"
13 Reefview Way,"Flat Point, Masterton, Wairarapa"
15A Bunyan Street,"Waltham, Christchurch, Canterbury"
72 & & 74 Marshall Street,"Fairfield, Hamilton, Waikato"
8 Teviotdale Way,"Richmond Hill, Christchurch, Canterbury"
2 Pohewa Road,"Silverdale, Auckland, Auckland North Shore"
5 Pahua Street,"Pegasus, Canterbury"
31 Carrs Road,"Chartwell, Hamilton, Waikato"
8 Deveron Road,"Manurewa, Auckland, Auckland South"
96 Awakino Road,"Dargaville, Northland"
15 Challis Place,"Mt Pleasant, Christchurch, Canterbury"
1001 Hood Street,"Mayfair, Hastings, Hawkes Bay/Gisborne"
15 Gulf Crest,"Bucklands Beach, Auckland, Auckland South"
8 Boeing Way,"Newlands, Wellington, Wellington"
1/93 Hills Road,"Edgeware, Christchurch, Canterbury"
11A Lear Street,"Stratford, Taranaki"
1/9 Walpole Street,"Waltham, Christchurch, Canterbury"
10 Potts Avenue,"Opotiki, Bay of Plenty"
4/205 Oliver Road,"Te Miro, Cambridge, Waikato"
25 Peterborough Street,"Christchurch Central, Christchurch, Canterbury"
57 Summersfield Boulevard,"Appleby, Richmond, Nelson/Marlborough"
15 Colpoma Close,"Papamoa Beach, Papamoa, Bay of Plenty"
32 Parklands Drive,"Huntsbury, Christchurch, Canterbury"
97 Waikowhai Street,"Ngaio, Wellington, Wellington"
21 Monaco Grove,"Palmerston North, Manawatu/Whanganui"
"470 Matarawa Road, 30 Moffats Road","Dalefield, Carterton, Wairarapa"
17 Quinn Crescent,"Woodend, Canterbury"
89 Barrington Street,"Somerfield, Christchurch, Canterbury"
18A Wakefield-Kohatu Highway,"Wakefield, Nelson/Marlborough"
216 Glenmorven Road,"Morrisons Bush, Greytown, Wairarapa"
17 Murphys Road,"Halswell, Christchurch, Canterbury"
36 Lincoln Avenue,"Tawa, Wellington, Wellington"
20 Lewis Crescent,"Rolleston, Canterbury"
5 McCaw Avenue,"Whenuapai, Auckland, Auckland West"
Dixon Road,"Glenview, Hamilton, Waikato"
24 Kamo Road,"Kensington, Whangarei, Northland"
37 Bert Wall Drive,"Omokoroa, Bay of Plenty"
Haumia Road,"Mangateparu, Morrinsville, Waikato"
33 Blind River Loop Road,"Seddon, Nelson/Marlborough"
21 Athlone Crescent,"Boulcott, Lower Hutt, Wellington"
62-64 Kilbirnie Crescent,"Kilbirnie, Wellington, Wellington"
11 Tawa Crescent,"Manurewa, Auckland, Auckland South"
21 Shepherds Lane,"Flat Bush, Auckland, Auckland South"
34 Herman Road,"Rukuhia, Hamilton, Waikato"
250 Ocean Beach Road,"Ocean Beach, Bluff, Southland"
Victoria Street,"Waihi, Waikato"
41-43 Yeats Crescent & 83 Marshall Street,"Fairfield, Hamilton, Waikato"
10C Menin Road,"Raumati South, Paraparaumu, Wellington"
Te Mata Peak Road,"Havelock North, Hawkes Bay/Gisborne"
18 William Blake Way,"Riverhead, Auckland North Shore"
8 Ladybridge Drive,"Rolleston, Canterbury"
9 Inverell Avenue,"Wiri, Auckland, Auckland South"
139 Ormonde Drive,"Silverdale, Auckland North Shore"
3 Patna Street,"Ngaio, Wellington, Wellington"
17 Taita Drive,"Rolleston, Canterbury"
1 Tanera Crescent,"Brooklyn, Wellington, Wellington"
7 Halcyon Way,"Cashmere, Christchurch, Canterbury"
15 Ketu Lane,"Redwoodtown, Blenheim, Nelson/Marlborough"
26 Allen Street,"Frankton, Hamilton, Waikato"
75 Dean Road,"Pokeno, Waikato, Waikato"
66 Golf Course Road,"Wanaka, Otago"
20 Lemonwood Place,"The Gardens, Auckland, Auckland South"
17 Pearson Street,"Mangawhai, Northland"
20 Dumas Place,"Papakura, Auckland, Auckland South"
24 Samuel Cassidy Avenue,"Swanson, Auckland, Auckland West"
26 Flower Street,"Bryndwr, Christchurch, Canterbury"
"48, 50 & 52 Cresswell Place","Johnsonville, Wellington, Wellington"
12 Jellicoe Drive,"Hamilton East, Hamilton, Waikato"
5 Tuaki Street,"Pegasus, Canterbury"
2/521 Maddisons Road,"Rolleston, Canterbury"
219 Taupo Quay,"Gonville, Whanganui, Manawatu/Whanganui"
30 Nobs Line,"Strandon, New Plymouth, Taranaki"
879B SH 25,"Kuaotunu, Whitianga, Coromandel Peninsula, Waikato"
4 Albur Way,"Te Kauwhata, Waikato"
37 Dignity Street,"Papakura, Auckland, Auckland South"
34D Glandovey Road,"Fendalton, Christchurch, Canterbury"
17 Waka Ama Road,"Karaka, Papakura, Auckland South"
3 Kaniere Place,"Half Moon Bay, Auckland, Auckland South"
17 Hussey Street,"Oakura, Taranaki"
8 Cicada Road,"Hobsonville Point, Auckland, Auckland West"
Joy Street,"Oamaru, Otago"
41 Connaught Street,"Blockhouse Bay, Auckland, Auckland City"
19 Kapia Street,"Pukekohe, Auckland South"
164 Ridgeview Road,"Redwood Valley, Richmond, Nelson/Marlborough"
5 Cleaver Street,"Woodend, Canterbury"
Sandringham Road,"Mt Eden, Auckland, Auckland City"
61A & 61B Mead Street,"Avondale, Auckland, Auckland City"
154 Dry Hills Lane,"Riverlands, Blenheim, Nelson/Marlborough"
23 Dromorne Road,"Remuera, Auckland, Auckland City"
496 Blockhouse Bay Road,"Blockhouse Bay, Auckland, Auckland City"
99 & 103 Tui Road,"Papatoetoe, Auckland, Auckland South"
12 Morepork Drive,"Waikanae, Wellington"
19 Hurunui Drive,"Te Awa, Napier, Hawkes Bay/Gisborne"
23 Carmine Crescent,"Appleby, Richmond, Nelson/Marlborough"
29 Quail Avenue,"Feilding, Manawatu/Whanganui"
63 Harding Drive,"Papamoa Beach, Papamoa, Bay of Plenty"
149 Robinson Road,"Whangarei, Northland"
55 Hayfield Way,"Karaka, Papakura, Auckland South"
Gibbs Road,"Collingwood, Golden Bay, Nelson/Marlborough"
9 Denman Street,"Sumner, Christchurch, Canterbury"
Ngawha Springs Road,"Kaikohe, Northland"
6A Woodside Road,"Mount Eden, Auckland, Auckland City"
618 Airport Road,"Tamahere, Hamilton, Waikato"
83 Bay Street,"Red Beach, Auckland North Shore"
Balfour Ardlussa Road,"Balfour, Southland, Southland"
1 Surfdale Road,"Waiheke Island, Auckland, Auckland City"
62 Lillington Road,"Remuera, Auckland, Auckland City"
10 Kipax Place,"Riccarton, Christchurch, Canterbury"
20A Marguerita Street,"Fenton Park, Rotorua, Bay of Plenty"
18 Townson Road,"Marshland, Christchurch, Canterbury"
37 Whites Tramway Road,"Halswell, Christchurch, Canterbury"
4 Riroriro Close,"Crofton Downs, Wellington, Wellington"
71 Hoskyns Road,"Rolleston, Canterbury"
14 Hughes Street,"Waimate, Canterbury"
33 Romanes Drive,"Havelock North, Hawkes Bay/Gisborne"
2 Karaka Court,"Feilding, Manawatu/Whanganui"
3 Summit Drive,"Torbay, Auckland, Auckland North Shore"
6 Taita Drive,"Rolleston, Canterbury"
20 Whitehouse Road,"Titahi Bay, Porirua, Wellington"
4 Margaret Mahy Drive,"Blue Mountains, Upper Hutt, Wellington"
67 Berryfield Drive,"Richmond, Nelson/Marlborough"
129 Langdales Road,"West Melton, Canterbury"
15 Hollows Lane,"Rolleston, Canterbury"
5 Marr Road,"Manurewa, Auckland, Auckland South"
238 Taylor Pass Road,"Witherlea, Blenheim, Nelson/Marlborough"
291C Kimberley Road,"Levin, Manawatu/Whanganui"
12A Longstead Avenue,"Papamoa Beach, Papamoa, Bay of Plenty"
189 Kahuranaki Road,"Kahuranaki, Hawkes Bay/Gisborne"
22 Batkin Road,"New Windsor, Auckland, Auckland City"
5A Amy Way,"Bell Block, New Plymouth, Taranaki"
45 Great North Road,"Waipawa, Hawkes Bay/Gisborne"
22 St Michael Crescent,"One Tree Point, Northland"
32 Rotomanu Place,"Pyes Pa, Tauranga, Bay of Plenty"
6 Riverglen Drive,"Haruru, Paihia, Northland"
17 Rua Street,"Albert Town, Wanaka, Otago"
1 Martingale Lane,"One Tree Point, Whangarei, Northland"
8 Howe Street,"Freemans Bay, Auckland, Auckland City"
97 Lauderdale Road,"Birkdale, Auckland, Auckland North Shore"
38 Aarts Avenue,"Manurewa, Auckland, Auckland South"
8 Honoiti Ranapiri Place,"Manakau, Manawatu/Whanganui"
1 Jean Batten Lane,"Rolleston, Canterbury"
146 Fitzherbert Avenue,"Castlecliff, Whanganui, Manawatu/Whanganui"
11 Moa Street,"Waikiwi, Invercargill, Southland"
152 Hupara Road,"Pakaraka, Kaikohe, Northland"
79 Aynsley Terrace,"Hillsborough, Christchurch, Canterbury"
22 Manakura Street,"Avonhead, Christchurch, Canterbury"
233 Webster Road,"Tirau, Waikato"
16 Croydon Street,"Woodend, Canterbury"
20 Lunns Road,"Middleton, Christchurch, Canterbury"
115 Walmsley Road,"Mangere, Auckland, Auckland South"
43 McQuillan Avenue,"Woodend, Canterbury"
Lot 4 Judd Lane,"Rolleston, Canterbury"
119 Adler Drive,"Ohauiti, Tauranga, Bay of Plenty"
55 Seventh View Avenue,"Beachlands, Auckland, Auckland South"
86 Lagoon Avenue,"Albert Town, Wanaka, Otago"
173 Bellam Road,"Rolleston, Canterbury"
17A Hall Road,"Bannockburn, Cromwell, Otago"
4 Red Barn Lane,"Pukekohe, Auckland, Auckland South"
19 Valour Drive,"Rangiora, Canterbury"
72 Harrison Street East,"Featherston, Wairarapa"
19 Emeline Chapman Drive,"Cracroft, Christchurch, Canterbury"
Miller Place,"Sunshine Bay, Queenstown, Otago"
45 Greenmeadows Avenue,"Manurewa East, Auckland, Auckland South"
31 Croydon Street,"Woodend, Canterbury"
29 Argo Drive,"Half Moon Bay, Auckland, Auckland South"
31 Roys Street,"Marshland, Christchurch, Canterbury"
224 West Tamaki Road,"Glen Innes, Auckland, Auckland City"
8 Eden Street,"Mangere East, Auckland, Auckland South"
3 Winstone House Road,"Paerata, Pukekohe, Auckland South"
46 Shannon Street,"Ohakune, Manawatu/Whanganui"
11 Clinton Street,"Fitzroy, New Plymouth, Taranaki"
56 Adams Road South,"Pukekohe, Auckland South"
74 Hinemoa Street,"Levin, Manawatu/Whanganui"
25 Taikura Avenue,"Red Beach, Auckland North Shore"
8 Hehan Close,"Cambridge, Waikato"
15 Mccormick Lane,"Rolleston, Canterbury"
Rodman Lane,"Pukaki, Canterbury"
24 Evelyn Crescent,"Marshland, Christchurch, Canterbury"
17 Brodie Street,"Blackball, West Coast"
5 MacKay Drive,"Greenhithe, Auckland, Auckland North Shore"
44 Oliver Road,"Te Miro, Cambridge, Waikato"
1 Ngapaki Street,"Waikanae Beach, Waikanae, Wellington"
45 View Road,"Campbells Bay, Auckland, Auckland North Shore"
328 Stanmore Road,"Richmond, Christchurch, Canterbury"
8 Koppens Road,"Tamahere, Hamilton, Waikato"
62C Owhiro Bay Parade,"Owhiro Bay, Wellington, Wellington"
17 Small Road,"Silverdale, Auckland, Auckland North Shore"
43 Aubrey Road,"Pataua North, Parua Bay, Northland"
36 Whitford Road,"Botany Downs, Auckland, Auckland South"
65 Sunline Avenue,"Lincoln, Canterbury"
28 Brusio Drive,"Halswell, Christchurch, Canterbury"
19 Dunkeld Drive,"Papamoa, Bay of Plenty"
24 Rawiri Drive,"Bell Block, New Plymouth, Taranaki"
1838 Whangamata Road,"Marotiri, Taupo, Waikato"
4 Tobruk Street,"Karori, Wellington, Wellington"
Corner Nile Road & Belmont Terrace,"Milford, Auckland, Auckland North Shore"
5 Kete Lane,"Wainui, Auckland North Shore"
136 Loop Road,"Bendigo, Otago"
2 Western Springs Road,"Kingsland, Auckland, Auckland City"
Shortland Street,"Napier, Hawkes Bay/Gisborne"
69 Merton Road,"St Johns, Auckland, Auckland City"
SH 6,"Waitangi, West Coast"
59 The Avenue,"Albany, Auckland, Auckland North Shore"
67 Zabeel Street,"Lincoln, Canterbury"
42A Clark & Denize Road,"Pukekawa, Waikato"
3 Monaro Place,"Papamoa, Bay of Plenty"
5 Power Place,"Rolleston, Canterbury"
26 Patrick Rice Drive,"Swanson, Auckland, Auckland West"
7 Haipara Close,"Greenhithe, Auckland, Auckland North Shore"
12 Noble Lane,"Pokeno, Waikato"
17 Bonnie Brae Road,"Meadowbank, Auckland, Auckland City"
10G Grange Street,"Hillsborough, Christchurch, Auckland City"
23 Sharman Place,"Pyes Pa, Tauranga, Bay of Plenty"
236 The Coastal Highway,"Redwood Valley, Richmond, Nelson/Marlborough"
38 Kia Kaha Drive,"Snells Beach, Auckland North Shore"
18 Mt Burke Street,"Northlake, Wanaka, Otago"
10 Ej Osborne Lane,"Taupaki, Auckland North Shore"
5 Waiwetu Street,"Fendalton, Christchurch, Canterbury"
Crane Road,"Ngararatunua, Whangarei, Northland"
53 Midlane Crescent,"Appleby, Richmond, Nelson/Marlborough"
107 Taniwha Street,"Glen Innes, Auckland, Auckland City"
110 Griggs Road,"Whitford, Auckland, Auckland South"
1491 Hinds Arundel Road,"Ealing, Ashburton, Canterbury"
6 Jimbo Lane,"Rolleston, Canterbury"
5 Rossbeg Lane,"Flat Bush, Auckland, Auckland South"
4 Thomason Crescent,"Pokeno, Waikato"
5 Ward Street,"Jacks Point, Queenstown, Otago"
198 Whites Road,"Ohoka, Canterbury"
5 Meadowridge Drive,"Flat Bush, Auckland, Auckland South"
Okaihau Road,"Waimarama, Hawkes Bay/Gisborne"
Jones Road,"Rolleston & Templeton, Canterbury"
41 Tuscan Lane,"Martinborough, Wairarapa"
13 Aeronautic Road,"Takanini, Auckland South"
36 Staveley Avenue,"Mt Roskill, Auckland, Auckland City"
1884 SH 2,"Nukuhou, Bay of Plenty"
28-44 & 50-66 Westgate Drive,"Westgate, Auckland, Auckland City"
108 Richmond Street,"Thames, Waikato"
Kiln Street,"Upper Hutt, Wellington"
22 Kearns Drive,"Hobsonville Point, Auckland, Auckland West"
48 Te Auhi Way,"Welcome Bay, Tauranga, Bay of Plenty"
14 Humber Street,"Roslyn, Palmerston North, Manawatu/Whanganui"
11 Glenda Drive,"Wakatipu Basin, Queenstown, Otago"
582 Birchs Road,"Lincoln, Canterbury"
21 Orange Lane,"Bethlehem, Tauranga, Bay of Plenty"
14 Parahau Road,"Papakura, Auckland, Auckland South"
Liddells Road,"Taieri Beach, Taieri Mouth, Otago"
412 Kahutara Road,"Featherston, Wairarapa"
25 Blakely Street,"Amberley, Canterbury"
14 Hass Drive,"Ohauiti, Tauranga, Bay of Plenty"
50 Cyrus Street,"Whalers Gate, New Plymouth, Taranaki"
52 Candlesticks Crescent,"Lincoln, Canterbury"
20 Angela Street,"Upper Riccarton, Christchurch, Canterbury"
150 Skyhigh Road,"Hunua, Auckland, Auckland South"
7 Jackson Rise,"Luggate, Wanaka, Otago"
107 Spence Road,"Lower Shotover, Queenstown, Otago"
390 Carrs Road,"Loburn, Canterbury"
5 Hillcrest Road,"Hillcrest, Hamilton, Waikato"
79 Rifle Range Road,"Taupo, Waikato"
633 Main Road,"Riwaka, Nelson/Marlborough"
9 Haupa Nui Road,"Wainui, Auckland North Shore"
674 Springston Rolleston Road,"Rolleston, Canterbury"
15 Frank Ernest Crescent,"Prebbleton, Canterbury"
3 Pommes Way,"Silverdale, Auckland North Shore"
94 - 96 Broadway,"Matamata, Waikato, Waikato"
75 St Marys Road,"St Marys Bay, Auckland, Auckland City"
19B East Street,"Raglan, Waikato"
12 Winstone House Road,"Paerata, Pukekohe, Auckland South"
96 Endeavour Street,"Lyall Bay, Wellington, Wellington"
97C Churcher Street,"Feilding, Manawatu/Whanganui"
Cnr Dovedale Avenue & Solway Avenue,"Ilam, Christchurch, Canterbury"
124 Munro Road,"Whakamarama, Bay of Plenty"
23-27 Princes Street,"Auckland Central, Auckland, Auckland City"
2 Braxonne Close,"Pukekohe, Auckland South"
13 Skibbereen Drive,"Halswell, Christchurch, Canterbury"
Gibbons Street,"Ebdentown, Upper Hutt, Wellington"
18 Bonspiel Road,"Wanaka, Otago"
10 Redbrook Road,"Casebrook, Christchurch, Canterbury"
Jessop Street,"Oamaru, Otago"
12 Maurice James Way,"Prebbleton, Canterbury"
79 Gordon Street,"Masterton, Wairarapa"
67 Harriet Johnston Drive,"Pokeno, Waikato"
Maka Terrace,"Orewa, Auckland, Auckland North Shore"
2 Waiora Terrace,"Peacocke, Hamilton, Waikato"
"94, 96 & 98 Symes Drive","Red Beach, Auckland North Shore"
51 Haymakers Crescent,"Rolleston, Canterbury"
44 Hawken Road,"Maunu, Whangarei, Northland"
36 Totaranui Drive,"Taumarunui, Waikato"
62 Downs Road,"Hororata, Canterbury"
71 Reel Road,"Waihi Beach, Waikato"
51 Glenbrook Drive,"Mosgiel, Otago"
1275 Tauwhare Road,"Eureka, Hamilton, Waikato"
12 Skylark Rise,"Todds Valley, Nelson, Nelson/Marlborough"
133 Blighs Road,"Strowan, Christchurch, Canterbury"
29 Oxfordshire Avenue,"Lower Shotover, Queenstown, Otago"
16 Cloonlyon Drive,"Flat Bush, Auckland, Auckland South"
43 Geoff Geering Drive,"Netherby, Ashburton, Canterbury"
48 Halesowen Avenue,"Mt Eden, Auckland, Auckland City"
55 Drayton Street,"Appleby, Richmond, Nelson/Marlborough"
114 Kerepi Street,"Westgate, Auckland, Auckland City"
487 Buckland Road,"Matamata, Waikato"
Harbottle Road,"Motumaoho, Morrinsville, Waikato"
12 Lippiatt Crescent,"Pokeno, Waikato"
